Vessel,Por,Perm,AI,Brittle,TOC,VR,Prod,Reuse
1,12.08,2.92,2.8,81.4,1.16,2.31,4165.196191,1
2,12.38,3.53,3.22,46.17,0.89,1.88,3561.146205,1
3,14.02,2.59,4.01,72.8,0.89,2.72,4284.348574,1
4,17.67,6.75,2.63,39.81,1.08,1.88,5098.680869,0
5,17.52,4.57,3.18,10.94,1.51,1.9,3406.132832,0
6,14.53,4.81,2.69,53.6,0.94,1.67,4395.763259,0
7,13.49,3.6,2.93,63.71,0.8,1.85,4104.400989,1
8,11.58,3.03,3.25,53,0.69,1.93,3496.742701,1
9,12.52,2.72,2.43,65.77,0.95,1.98,4025.851153,1
10,13.25,3.94,3.71,66.2,1.14,2.65,4285.026122,1
11,15.04,4.39,2.22,61.11,1.08,1.77,4691.546305,1
12,16.19,6.3,2.29,49.1,1.53,1.86,5128.20297,1
13,16.82,5.42,2.8,66.65,1.17,1.98,5113.940775,1
14,17.39,4.95,2.55,56.43,1.87,2.19,5546.431951,1
15,13.83,5.26,2.51,66.22,0.18,1.64,4323.568513,1
16,11.34,2.72,3.43,58.03,0.57,2.15,3539.984263,1
17,19.55,8.41,3.08,35.49,1.34,1.95,5425.900608,1
18,15.58,3.67,2.53,29.43,1.35,1.88,3796.037029,0
19,14.73,5,3.03,67.42,0.9,1.98,4534.585915,1
20,12.47,2.53,3.54,48.82,0.9,2.54,3803.411386,1
21,18.08,5.7,2.38,53.56,1.26,2.09,5778.851488,1
22,16.32,4.06,2.41,46.78,1.21,1.72,4771.307836,0
23,12.62,2.39,2.38,15.68,1,1.48,2486.075498,0
24,10.03,1.88,3.29,37.74,0.38,1.7,2515.440716,0
25,18.66,5.37,1.39,53.35,1.77,1.71,6046.257538,1
26,7.27,2.01,3.41,54.56,-0.04,1.68,2351.289487,1
27,15.78,5,2.55,52.64,1.37,2.04,4971.979256,0
28,15.73,6.42,3.74,31.9,1.1,2.15,3999.613909,0
29,12.38,2.18,4.09,31.4,0.72,2.07,2760.485982,0
30,12.89,2.41,2.9,51.24,0.81,1.97,3825.661812,1
31,18.48,5.93,2.85,46.89,1.45,2.45,5859.748328,0
32,14.74,3.1,2.45,36.86,0.92,1.59,3775.981178,0
33,12.55,3.22,3.43,56.93,0.79,2.27,3907.28923,1
34,13.58,2.39,2.95,52.16,1.13,2.2,4118.233273,1
35,11.76,2.94,4.18,61.21,0.43,2.45,3621.261108,1
36,11.98,3.67,3.17,27.12,0.54,1.69,2718.652945,0
37,13.56,3.13,3.59,42.96,0.48,1.93,3608.47473,0
38,16.55,5.7,2.28,63.39,1.33,1.96,5249.625543,1
39,15.22,3.67,3.52,42.24,1.14,2.26,4239.53187,0
40,14.54,3.67,2.04,66.27,0.87,1.64,4471.241364,1
41,14.37,5.93,2.98,47.62,0.97,1.87,4363.202854,0
42,15.4,3.9,2.86,46.29,1.01,1.99,4495.004769,0
43,10.14,3.78,4.26,61.89,-0.19,1.97,3098.436639,1
44,11.09,2.56,3.16,29.62,0.83,1.96,2677.297348,0
45,18.37,5.93,2.56,44.22,2.07,2.34,5779.876876,1
46,14.71,4.35,2.39,26.33,0.66,1.15,3210.90138,0
47,9.29,1.67,2.82,63.86,0.3,1.6,2967.240201,1
48,11.85,3.46,3.26,24.76,0.08,1.38,2415.825125,0
49,18.59,5.1,2.91,49.2,1,1.9,5563.040771,1
50,18.18,4.39,3.27,45.48,1.24,2.25,5337.145786,0
51,18.72,5.75,2.57,44.74,1.59,1.96,5670.537767,0
52,20.96,9.21,2.45,33.84,1.53,1.84,5899.353594,0
53,15.31,3.35,2.76,55.2,0.8,1.97,4601.071319,1
54,11.98,2.75,4.63,60.31,0.76,2.87,3741.129167,1
55,18.16,7.1,2.12,41.55,1.97,1.97,5605.978153,0
56,13.61,3.53,2.75,55.04,0.76,1.74,4079.994302,1
57,13.67,3.13,2.89,28.69,0.62,1.73,3146.528143,0
58,15.21,4.1,3.11,32.37,0.78,1.81,3691.832452,0
59,16.1,3.25,2.16,26.77,1.09,1.29,3542.532883,0
60,13,4.66,3.1,64.54,0.2,1.71,3969.558019,1
61,18.32,5.7,3.1,57.18,1.3,2.48,5851.024387,1
62,14.96,2.16,2.25,34.65,1.07,1.67,3733.769597,0
63,18.21,5.7,3.34,51.06,1.12,2.28,5620.911404,1
64,15.07,5.42,3.04,39.39,1.07,2.17,4319.662079,1
65,17.75,4.66,2.72,59.32,1.67,2.35,5620.445827,0
66,15.77,7.03,4.1,44.54,0.04,1.97,4431.905847,0
67,14.19,3.29,2.69,28.7,1.22,1.83,3376.2837,0
68,13.8,3.29,3.15,46.08,1.28,2.07,3999.97933,0
69,14.84,3.97,3.43,48.8,1.04,2.11,4336.465709,1
70,12.54,3.49,3.59,58.03,0.47,2.03,3767.10242,1
71,10.13,2.39,3.49,63.79,0.16,1.93,3180.611366,1
72,14.17,3.94,2.92,59.3,0.91,1.91,4320.554389,1
73,14.85,5,3.63,44.93,0.72,2.05,4220.557084,0
74,16.62,4.62,2.31,31.41,1.1,1.54,4087.529805,0
75,17.85,5.81,2.96,59.16,0.48,1.74,5321.469922,1
76,18.73,7.46,2.88,53.39,1.42,2.14,6053.071368,1
77,17.2,6.36,2.26,48.84,1.47,1.9,5446.810082,1
78,10.49,1.62,3.77,52.31,0.46,2.37,3190.699612,1
79,13.53,4.53,2.31,67.51,0.8,1.67,4276.410007,1
80,18.04,3.9,2.47,57.53,1.15,2.01,5518.256409,1
81,14.97,2.75,2.87,54.85,1.17,2.2,4555.146788,1
82,16.18,4.01,3.04,41.4,1.22,2.01,4489.29306,0
83,15.07,3.39,3.39,56.7,0.38,1.88,4319.787412,1
84,13.69,3.86,3.51,69.53,0.6,2.04,4113.145433,1
85,10.15,1.72,2.97,40.51,0.59,1.76,2734.773959,0
86,13.45,2.51,3.25,58.3,1.04,2.33,4142.406714,1
87,15.94,3.82,3.81,37.13,1.36,2.43,4208.174933,0
88,14.88,4.81,3.3,63.31,0.95,2.03,4519.923344,1
89,11.12,1.88,3.09,58.97,0.52,1.85,3364.213781,1
90,13.5,2.66,3.94,36.68,1.17,2.6,3562.635128,0
91,13.72,4.01,3.41,40.24,0.84,2.18,3806.229207,0
92,7.38,1.88,2.54,42.24,0.38,1.28,2119.315516,0
93,20.21,8.33,2.5,23.78,1.47,1.82,4877.71473,0
94,10.69,2.66,3.49,84.33,0.39,1.97,3591.891958,1
95,15.75,3.6,2.82,70.68,0.95,2.04,4700.224408,1
96,17.96,4.26,2.87,49.41,0.92,2.01,5350.949293,1
97,16.95,4.14,2.3,61.43,1.47,2.05,5278.785405,1
98,19.73,7.85,2.63,49.91,1.59,2.11,6455.048131,1
99,11.91,4.48,2.27,47.38,0.84,1.57,3671.944944,0
100,15.53,5.42,2.64,64.49,1.55,2.1,4948.929165,1
101,14.44,2.92,2.34,68.76,0.98,1.97,4464.894985,1
102,13.37,4.66,3.04,52.23,0.86,1.72,4003.874956,1
103,10.5,3.22,3.69,61.09,0.45,2.17,3376.059883,1
104,18.9,4.57,2.65,18.63,1.06,1.54,3856.991967,0
105,17.89,4.22,1.86,34.13,1.75,1.62,4689.43224,0
106,15.32,3.71,3.29,55.99,1.35,2.42,4748.315024,1
107,13.48,2.61,2.93,55.3,0.5,1.7,3890.428004,1
108,17.17,3.82,2.35,38.08,1.43,1.97,4733.965648,0
109,20.86,6.3,2.53,40.57,2.08,2.43,6480.140811,0
110,15.19,5.05,3.11,57.97,1.15,2.16,4751.960471,1
111,14.95,3.29,2.69,75.73,0.58,1.8,4429.601197,1
112,12.1,5.1,3.97,63.24,0.38,1.93,3695.605482,1
113,18.24,4.31,2.85,44.53,1.39,2.06,5334.209437,0
114,19.86,6.82,2.77,45.44,1.33,2.08,6171.948872,0
115,19.54,5.93,3.23,37.4,0.82,1.8,5188.165252,0
